id_estudiante,nombre,genero,grado,asistencia,nota_matematicas,nota_ciencias,nivel_socioeconomico,actividad_extracurricular,tiene_beca
EST-001,Azeneth Fiol Santana,M,8.0,87.6,2.7,3.1,Medio-Bajo,Ninguna,0
EST-002,Delia Leandra Granados Cerdán,O,8.0,89.4,3.4,3.5,Medio-Bajo,Deportes,0
EST-003,Juliana Muñoz Pina,F,11.0,96.9,5.0,3.2,Bajo,Deportes,1
EST-004,Teo Mayo Asenjo,F,7.0,89.1,4.1,3.0,Bajo,Deportes,0
EST-005,Florencio Torrent Quintana,M,11.0,100.0,2.0,4.4,Medio-Bajo,Ninguna,0
EST-006,Flor Viana Bautista,M,6.0,94.6,1.9,4.3,Bajo,Robótica,0
EST-007,Sancho Alcázar-Villalobos,M,10.0,95.4,3.9,4.5,Bajo,Ninguna,0
EST-008,Hugo Acero Zabaleta,F,11.0,93.6,2.9,4.2,Medio-Bajo,Ninguna,1
EST-009,Primitiva España Pou,F,6.0,98.9,4.8,4.7,Medio-Bajo,Ninguna,0
EST-010,Dolores Calderon Coca,F,8.0,98.9,4.1,5.0,Medio-Bajo,Robótica,0
EST-011,Severino Esteban Conesa,M,6.0,96.7,4.2,2.3,Medio-Bajo,Ninguna,0
EST-012,Ciro Gustavo Pedro Catalán,O,10.0,97.8,3.2,3.3,Bajo-Bajo,Música,0
EST-013,Geraldo Boix Bonet,F,9.0,93.9,,4.0,Bajo,,1
EST-014,Eligia Prats Barriga,M,9.0,97.7,5.0,4.0,Bajo,Ninguna,1
EST-015,Olga Rosaura Menendez Dávila,M,7.0,93.3,3.7,3.5,Medio-Bajo,Deportes,0
EST-016,Noé Suarez Mateu,M,7.0,95.0,4.8,5.0,Medio-Bajo,Deportes,1
EST-017,Pacífica Alcalá Briones,M,6.0,93.6,4.1,5.0,Bajo,Deportes,0
EST-018,Dora Emperatriz Arteaga Luna,F,7.0,92.7,3.7,4.4,Medio,Robótica,0
EST-019,Jose Miguel Caparrós Yáñez,M,9.0,91.6,3.4,4.3,Bajo-Bajo,Arte,1
EST-020,Ramiro Gálvez Zaragoza,M,11.0,97.3,,5.0,Bajo,Arte,0
EST-021,Tere Enríquez Acuña,F,9.0,100.0,2.6,2.3,Bajo,Música,0
EST-022,Miguel Ángel Alegre Oliva,M,8.0,100.0,4.5,,Bajo,Robótica,0
EST-023,Cristina Bilbao Baena,M,11.0,88.7,3.3,4.7,Medio-Bajo,Ninguna,1
EST-024,Lucho Barragán Gargallo,M,10.0,100.0,1.9,3.6,Bajo-Bajo,Deportes,1
EST-025,Gertrudis Calderón Bas,M,11.0,93.4,4.5,3.0,Bajo-Bajo,Música,0
EST-026,Silvestre Juliá Domínguez,F,9.0,98.0,4.0,4.0,Bajo,Arte,0
EST-027,Hugo Ropero-Garcés,M,7.0,90.5,5.0,4.1,Medio-Bajo,Música,0
EST-028,Custodia Flor Abellán,F,6.0,95.7,4.8,3.3,Medio,Arte,1
EST-029,Calixta Cardona Nicolás,F,10.0,96.6,2.2,5.0,Medio-Bajo,Deportes,0
EST-030,Albina Villa Goñi,M,6.0,87.6,1.4,3.4,Bajo-Bajo,Arte,1
EST-031,Paula Vives Duran,F,7.0,98.0,3.5,3.0,Medio-Bajo,Robótica,1
EST-032,Plinio Agullo Guitart,M,9.0,100.0,3.2,3.9,Bajo-Bajo,,0
EST-033,Salomé Expósito Perelló,M,9.0,94.1,5.0,,Bajo,Deportes,0
EST-034,Miriam Cid-Crespo,,9.0,100.0,4.0,4.2,Medio-Bajo,Deportes,0
EST-035,Gertrudis de Vidal,O,6.0,94.1,5.0,4.5,Bajo,Ninguna,0
EST-036,Alex Cuevas Marin,F,8.0,99.2,2.4,3.3,Bajo-Bajo,Deportes,0
EST-037,Herberto Barranco Meléndez,M,9.0,83.9,4.7,5.0,Bajo,Música,0
EST-038,Salomón Verdejo Mínguez,M,11.0,100.0,4.9,4.6,Bajo-Bajo,Ninguna,0
EST-039,Rosendo Jáuregui Acosta,F,10.0,100.0,1.6,5.0,Bajo,Música,0
EST-040,Valentina Constanza Lerma Saldaña,M,11.0,93.6,5.0,4.6,Bajo,Arte,1
EST-041,Elena Coloma Cueto,M,10.0,85.1,,4.7,Bajo,Música,1
EST-042,Juliana de Saez,,9.0,96.4,4.9,3.3,Medio,Deportes,1
EST-043,Seve Recio-Marcos,M,7.0,87.8,2.5,3.2,Medio-Bajo,Ninguna,0
EST-044,Eligio Capdevila Tena,F,9.0,97.2,5.0,,Medio-Bajo,,0
EST-045,Álvaro de Samper,M,9.0,97.1,2.6,5.0,Medio-Bajo,Arte,0
EST-046,Noemí Posada Paz,F,9.0,90.3,5.0,3.1,Medio-Bajo,Robótica,0
EST-047,Darío Medina Tolosa,M,8.0,100.0,5.0,4.4,Bajo,Robótica,0
EST-048,Gustavo Almazán-Feijoo,F,9.0,99.0,2.8,3.8,Bajo-Bajo,Música,0
EST-049,Clemente Falcón,F,7.0,99.9,5.0,3.5,Medio-Bajo,Arte,0
EST-050,Baudelio de Elías,M,8.0,95.0,4.3,4.3,Bajo,,0
EST-051,Bernardo Goicoechea Sedano,O,7.0,87.9,4.3,5.0,Bajo-Bajo,Robótica,0
EST-052,Rafa Gordillo,F,10.0,99.9,2.2,4.5,Bajo,Ninguna,0
EST-053,Gilberto Carro,F,6.0,93.6,5.0,3.9,Medio-Bajo,,0
EST-054,Adrián Azorin-Muñoz,,6.0,88.1,2.4,4.4,Medio,Música,1
EST-055,Chita del Pinto,F,8.0,100.0,5.0,3.8,Bajo,Arte,0
EST-056,Silvestre Pablo Losa,F,9.0,100.0,2.8,4.6,Medio-Bajo,Robótica,0
EST-057,Candelas Bernal Puig,M,8.0,94.8,3.3,5.0,Medio-Bajo,Música,0
EST-058,Nayara Mora Muñoz,M,7.0,100.0,4.9,2.1,Bajo,,0
EST-059,Pablo Barco,M,9.0,95.5,5.0,5.0,Bajo-Bajo,Robótica,1
EST-060,Jose Antonio Soler Iniesta,M,7.0,93.1,2.5,2.7,Bajo,Música,0
EST-061,Miguel de Guerrero,M,11.0,91.8,5.0,5.0,Medio,Deportes,1
EST-062,Victoria Rivas Ferrera,M,11.0,100.0,5.0,3.6,Bajo-Bajo,Robótica,0
EST-063,Francisca Torres Sanjuan,F,8.0,91.1,2.9,2.8,Bajo,Ninguna,0
EST-064,Vito Ferrán Benitez,M,7.0,98.7,5.0,4.9,Bajo,Música,1
EST-065,Cloe Barreda Gual,M,10.0,92.2,2.7,4.6,Medio-Bajo,Robótica,1
EST-066,Victoriano Beltran,F,6.0,92.7,,,Medio,Ninguna,0
EST-067,Mayte Luján Villaverde,M,8.0,100.0,5.0,2.9,Bajo,Arte,1
EST-068,Gisela Gilabert,F,7.0,93.1,3.0,4.0,Medio,Música,0
EST-069,Marina Mariscal Burgos,M,11.0,93.0,4.3,3.0,Bajo-Bajo,,0
EST-070,Raimundo Redondo Alarcón,O,6.0,100.0,4.3,2.9,Bajo-Bajo,Ninguna,0
EST-071,Coral Jimenez,F,9.0,100.0,4.2,4.3,Medio,,1
EST-072,Sandalio de Chamorro,M,10.0,98.2,5.0,3.2,Bajo,Deportes,0
EST-073,Victor Manuel del Prat,M,8.0,91.7,4.1,4.6,Bajo-Bajo,Deportes,1
EST-074,Haydée Gonzalez-Enríquez,F,6.0,92.4,4.3,5.0,Bajo,Robótica,0
EST-075,Luisina Tejedor-Polo,F,11.0,95.4,5.0,4.1,Medio-Bajo,Robótica,0
EST-076,Noé del Abella,F,8.0,96.6,5.0,4.3,Medio-Bajo,Música,1
EST-077,Nadia de Real,F,9.0,90.1,4.9,5.0,Medio-Bajo,Deportes,0
EST-078,Chema Hernández-Ríos,M,7.0,98.6,2.6,3.0,Medio-Bajo,,0
EST-079,Gabriela Abellán-Bautista,M,8.0,95.4,4.6,5.0,Medio-Bajo,Ninguna,0
EST-080,Ismael Reyes Muñoz Marqués,M,8.0,86.4,2.8,5.0,Bajo,Arte,1
EST-081,Estefanía Manuel Arévalo,,6.0,90.4,2.5,5.0,Medio-Bajo,Arte,0
EST-082,Ceferino Luján Melero,F,6.0,92.5,3.9,5.0,Medio-Bajo,Música,0
EST-083,Renato Galiano-Piquer,M,10.0,94.6,2.9,4.3,Bajo,Ninguna,0
EST-084,Íñigo de Rueda,M,7.0,100.0,5.0,3.6,Bajo-Bajo,,1
EST-085,Jennifer de Lobato,M,7.0,96.2,5.0,5.0,Bajo,Música,0
EST-086,Dolores Malo Serna,M,8.0,90.8,2.1,5.0,Medio-Bajo,Deportes,1
EST-087,Ildefonso Miranda-Suarez,F,10.0,96.1,3.4,5.0,Bajo-Bajo,Deportes,1
EST-088,Lola Contreras Llano,F,6.0,93.2,2.2,4.0,Bajo-Bajo,Ninguna,0
